Nom du modèle,mAP 50-95,F1-score,Temps d'inférence moyen
fasterrcnn dell onnx,0.0,0.0,3.6767862198645607
fasterrcnn dell cor onnx,0.09010648903296946,0.10966578222713279,3.6767862198645607
fasterrcnn dell pt,0.2224376768559924,0.2579770410971426,3.880356541777079
Google coral yolo11n trained full integer quant edgetpu tflite,0.47314509824182815,0.48530371531551925,212.566166133671
hailo8l yolov8n trained hef,0.08314388498281405,0.10575161895287873,14.745459127900002
i7-11800H fasterrcnn custom new onnx,0.09010648903296946,0.10966578222713279,891.3731533184387
i7-11800H fasterrcnn custom new pt,0.2224376768559924,0.2579770410971426,1206.3609435495023
i7-11800H yolo11n trained pt,0.4849704896975342,0.49761972248106195,48.432861055646626
i7-11800H yolo11n trained cpu onnx,0.4852214598494945,0.49775180556558113,36.552678214179146
i7-11800H yolo11n trained openvino model,0.48350277167990763,0.4963566531294934,16.616344451904297
i7-11800H yolov8n trained onnx,0.4419821363427321,0.45278319079794727,36.7359254778046
i7-11800H yolov8n trained pt,0.44518464683994263,0.4556708506213957,46.84692433005885
Raspberry Pi 5 fasterrcnn custom new onnx,0.09010648903296946,0.10966578222713279,4055.26416134416
RTX 3080 TI laptop 95W fasterrcnn custom new onnx,0.09010648903296946,0.10966578222713279,-1650.1372006901524
RTX 3080 TI laptop 95W fasterrcnn custom new pt,0.2224376768559924,0.2579770410971426,856.4084661858423
RTX 3080 TI laptop 95W yolo11n trained pt,0.4849704896975342,0.49761972248106195,11.44478609273722
RTX 3080 TI laptop 95W yolo11n trained gpu onnx,0.4852214598494945,0.49775180556558113,9.995097584194607
